"source","orderId","designId","creditDate","pointOfSale","shopId","payoutAmount","currency","payoutDate"
"Design Commission","11741556","1014297125","2021-04-23T04:42:58Z[UTC]","CYO","1129646","3.00","USD",""
"Design Commission","10640054","1020611011","2020-01-02T13:53:41Z[UTC]","Marketplace","93439","3.00","USD",""
"Design Commission","10401362","1014297125","2019-09-24T12:42:59Z[UTC]","Marketplace","93439","1.50","USD",""
"Payout","","","2019-01-15T22:59:59Z[UTC]","","","-25.00","USD","2019-01-15T22:59:59Z[UTC]"
"Design Commission","9845319","1010061947","2018-12-28T13:48:18Z[UTC]","Marketplace","93439","5.00","USD","2019-01-15T22:59:59Z[UTC]"
"Design Commission","9819700","1010061947","2018-12-24T13:44:07Z[UTC]","Marketplace","93439","5.00","USD","2019-01-15T22:59:59Z[UTC]"
"Design Commission","9819700","1010061947","2018-12-24T13:44:07Z[UTC]","Marketplace","93439","5.00","USD","2019-01-15T22:59:59Z[UTC]"
"Design Commission","9793234","1010061947","2018-12-20T13:44:44Z[UTC]","Marketplace","93439","5.00","USD","2019-01-15T22:59:59Z[UTC]"
"Design Commission","9754006","1010061947","2018-12-11T13:47Z[UTC]","Marketplace","93439","5.00","USD","2019-01-15T22:59:59Z[UTC]"
"Payout","","","2018-09-17T23:48:47Z[UTC]","","","-10.20","USD","2018-09-17T23:48:47Z[UTC]"
"Design Commission","9497451","1010061947","2018-08-21T12:46:23Z[UTC]","Marketplace","93439","5.00","USD","2018-09-17T23:48:47Z[UTC]"
"Design Commission","9256689","1010061947","2018-04-24T12:44:38Z[UTC]","Marketplace","93439","1.50","USD","2018-09-17T23:48:47Z[UTC]"
"Design Commission","8907520","1010061947","2017-12-15T13:47:15Z[UTC]","Marketplace","93439","0.70","USD","2018-09-17T23:48:47Z[UTC]"
"Design Commission","8580643","1010061947","2017-08-15T12:44:10Z[UTC]","CYO","100181217","3.00","USD","2018-09-17T23:48:47Z[UTC]"
